generated_sentence,perplexity
bigger than the,5.387224610656756
for that sarah ,5.3912036747164755
> team uniform ,4.327207635003291
look so adorabl,4.168254034041128
great conversat,3.1698943328684064
by the color re,4.018486680265219
underwear watch,5.976800856183858
to thomas ryan ,1.3160742912801675
fucking glitter,5.1053317436173495
from the major ,5.797172997778729
of russian < un,5.254533099391548
everybody went ,4.5203833327165714
forget to ride ,5.83974736197231
hit flexible < ,4.606304087019385
mean after he w,5.104393091031224
this late hehe ,3.6893075167512146
figured out how,4.936366790126973
men can be < un,4.088290309633201
at the station ,7.163524279650393
sound ridiculou,4.230122605151865
all you < unk >,6.475886934404377
for helping to ,3.6634860264536138
rt this summer ,5.332526159189217
about by suppor,2.1973825680467503
desk randomly t,3.4061139874325845
won a < unk > a,2.5550722396031453
just sign onto ,4.197653635658284
hope u solved t,3.7988661868985227
but seen them i,4.586690520871946
my new york lif,6.258299508638939
believe you did,7.4071639457138625
where i do my t,4.368464178739083
both doing grea,3.0719796224756295
and a little < ,4.170359868992933
> welcome dont ,4.914364574293063
3 < unk > as a ,6.913971546384953
made of mistake,4.700437855155857
i feel < unk > ,6.7426786734732405
world is a comp,5.271117614060066
you wish philip,4.505943241896934
were looking fo,6.056780127800442
hit yesterday i,2.333782999798376
way ps did you ,3.0500691462550034
should watch bo,2.3560083996202663
has no < unk > ,3.694568864387835
is all over < u,4.346705711914396
e t if you dont,4.826839448831859
sound like him ,6.462296547015591
awkward run you,4.477049879753445
i can fill up o,8.477516266533705
moves < unk > <,3.9587508238675033
harder the figh,3.059382466093151
the avengers to,2.4662121090273335
how those < unk,3.6605922492300933
gay if you find,3.976281059832127
> and casino < ,7.970445515293114
an emergency ca,2.4479873625810096
be thought of y,6.249345948224259
need to scratch,4.414556529929698
really just ano,3.6871147873128534
send another < ,3.586084688072958
> of actual peo,2.982942556906027
got an a wtf,2.3003267206066265
answer all my f,4.99872746428955
best hitting < ,4.351210906808745
someone by thei,3.1329557332389677
in january 2011,3.1230293044210464
great plans w k,5.667610223645504
hours till 2011,1.442249671953946
brain is offici,2.2133639856025416
research for yo,5.649814352190759
though the way ,4.506323395225919
on the table yo,6.185300288334033
see ya there wa,4.439208028710099
> ryan dunn wha,3.8578068606588944
> the creation ,3.831535358470966
al day and they,7.650703254664603
> burrito ive h,2.94452652426378
now for all the,4.193704049468867
year beginning ,4.198477184968618
gettin this mix,2.6629500793616514
be cooking that,4.876386591215309
> is major im f,7.823594949953127
by hope massive,4.0366415211023075
car battery on ,2.3516918679986265
night was total,2.783157808679836
problem then i ,4.274624674858534
they make up fo,4.082875319073225
love how always,3.781965409531847
blown away sess,1.2599211831105113
the beautiful b,4.933699181408511
glass is full o,3.9532624647634256
sad i think dre,5.355003698909824
whenever you ha,8.008088107051435
and integration,1.0000004229999553
wat u < unk > t,6.137869161769463
of comparing bu,2.7768478746562772
like or think u,4.305319799726964
> everyone chec,2.1940136455166326
in 1 < unk > fo,4.092791783976639
for so many thi,8.484650110283411
> of anything <,4.546320751591927
wan na spend 30,4.0116679213476845
> today dec 3,2.9906980426978893
name < unk > a ,4.804872553914947
for time is goi,5.503790454676089
be like us at w,4.486507655722914
through the fac,4.372991858950007
coming in to th,7.375705857271964
ideas for tonig,2.279507217571369
that it was lik,4.444407497035583
> one said it w,3.42612239018759
cubs at 2pm at ,3.991534125416265
to school distr,3.369234790715191
> nyc now,1.5874011358623406
definitely be u,6.324530515477034
of interactive ,3.3268523782642125
for 6 weeks unt,1.414213973614564
this weekend ch,9.009529228300659
allen aint that,2.857355360612487
a star for your,3.6180819916913105
be there someti,3.393505235935443
the hell i thou,4.43680140330141
my bike says no,2.7139019503106017
refill nobody i,2.1265901832856797
to a computer k,5.626223006036642
can fill up a <,3.9839246257163414
the most wonder,3.3956376502209897
a pot < unk > <,4.055956182747274
is like feeding,4.340292716355757
on twitter are ,3.3058539407928977
the other guy w,6.487380817937371
> community new,3.367403348193524
time for us to ,5.334632773843925
was amazing i h,4.09641399663214
they do having ,3.2547781768365995
> hart of the n,5.046101276739266
in the 8th inni,4.776246379474619
reads 99 that t,6.525009492510456
love this < unk,3.2903218256839373
more episode of,2.787959412003427
> the vikings,9.248234386377955
how deep is you,2.2270335209021304
me ill always b,3.470675891242905
roller < unk > ,4.866591373456071
other cities wo,1.7617302186024326
> look 40,3.3322218705855815
wait a second t,5.173622422206991
doing the hell ,6.290805753677013
day to all the ,6.07402386516246
> hurt so bad r,3.3310241685425606
it in the histo,4.925283583332512
in the eyes of ,7.191377811030773
like we missed ,2.4987945234716684
birthday cody m,2.6531699528420307
avatar you will,5.082539739631143
unk > cody and ,5.916628632456453
learn to love <,4.76350452056827
that the republ,6.8135819521871515
no more shut < ,5.646559110795942
myself an hour ,3.4965411694353166
slow iphone 4s ,3.2188251081936547
